index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Recovery_Rate,Total_cases,Death_Rate
92,Kuwait,3516.1290322580644,55057,8884,606.0,5.0,684,0.68,85.52,0.8,59763,4616,7.72,85.52012302148216,67457.12903225806,5.212390569685597
93,Kyrgyzstan,3516.1290322580644,21205,10790,483.0,24.0,817,3.91,63.69,6.14,27143,6153,22.67,63.686328688130715,35511.12903225806,9.90148476851873
94,Laos,3516.1290322580644,19,1,0.0,0.0,0,0.0,95.0,0.0,19,1,5.26,95.0,3536.1290322580644,99.43440977923737
95,Latvia,3516.1290322580644,1045,143,1282.7401129943503,30.401129943502823,0,2.54,85.73,2.97,1192,27,2.27,85.72600492206726,4704.129032258064,74.74559069588831
96,Lebanon,3516.1290322580644,1709,2122,132.0,0.0,17,1.31,44.02,2.98,2905,977,33.63,44.0236991241628,7347.129032258064,47.857183626696404
97,Lesotho,3516.1290322580644,128,365,0.0,0.0,0,2.38,25.35,9.38,359,146,40.67,25.346534653465348,4009.1290322580644,87.70306477957564
98,Liberia,3516.1290322580644,646,449,5.0,0.0,5,6.17,55.36,11.15,1107,60,5.42,55.35561268209083,4611.129032258064,76.25310434083039
99,Libya,3516.1290322580644,577,2186,158.0,4.0,24,2.26,20.41,11.09,1980,847,42.78,20.410328970640254,6279.129032258064,55.997081986920314
100,Liechtenstein,3516.1290322580644,81,4,0.0,0.0,0,1.16,94.19,1.23,86,0,0.0,94.18604651162791,3601.1290322580644,97.63962914856452
101,Lithuania,3516.1290322580644,1620,319,11.0,0.0,4,3.96,80.24,4.94,1947,72,3.7,80.23774145616642,5455.129032258064,64.45546954922564
102,Luxembourg,3516.1290322580644,4825,1384,49.0,0.0,178,1.77,76.33,2.32,5639,682,12.09,76.3328587248853,9725.129032258064,36.15508874581646
103,Madagascar,3516.1290322580644,6260,3339,395.0,6.0,681,0.94,64.6,1.45,7153,2537,35.47,64.60268317853458,13115.129032258064,26.80971741574001
104,Malawi,3516.1290322580644,1645,1920,24.0,0.0,6,2.7,44.9,6.02,2992,672,22.46,44.896288209606986,7081.129032258064,49.65492107600847
105,Malaysia,3516.1290322580644,8601,179,7.0,0.0,1,1.39,96.6,1.44,8800,104,1.18,96.59703504043127,12296.129032258064,28.595414239991605
106,Maldives,3516.1290322580644,2547,807,67.0,0.0,19,0.45,75.6,0.59,2999,370,12.34,75.60106856634016,6870.129032258064,51.179956238789714
107,Mali,3516.1290322580644,1913,476,3.0,1.0,2,4.93,76.12,6.48,2475,38,1.54,76.1241543971349,5905.129032258064,59.54364439880039
108,Malta,3516.1290322580644,665,27,1.0,0.0,0,1.28,94.86,1.35,677,24,3.55,94.8644793152639,4208.129032258064,83.5556373225401
109,Mauritania,3516.1290322580644,4653,1399,37.0,0.0,223,2.51,74.95,3.35,5923,285,4.81,74.95167525773195,9568.129032258064,36.74834463878737
110,Mauritius,3516.1290322580644,332,2,0.0,0.0,0,2.91,96.51,3.01,343,1,0.29,96.51162790697676,3850.1290322580644,91.32496606732911
111,Mexico,3516.1290322580644,303810,47657,4973.0,342.0,8588,11.13,76.82,14.49,349396,46093,13.19,76.8188242909411,354983.12903225806,0.9905059549854118
112,Moldova,3516.1290322580644,16154,6252,1282.7401129943503,30.401129943502823,245,3.23,69.77,4.63,21115,2039,9.66,69.76764273991535,25922.129032258064,13.564198480312001
113,Monaco,3516.1290322580644,104,8,0.0,0.0,0,3.45,89.66,3.85,109,7,6.42,89.65517241379311,3628.1290322580644,96.9130094601323
114,Mongolia,3516.1290322580644,222,67,1.0,0.0,4,0.0,76.82,0.0,287,2,0.7,76.8166089965398,3805.1290322580644,92.40498817385702
115,Montenegro,3516.1290322580644,809,2039,94.0,2.0,70,1.56,27.96,5.56,2188,705,32.22,27.964051157967507,6364.129032258064,55.249178865415026
116,Morocco,3516.1290322580644,16553,4018,609.0,3.0,115,1.51,79.25,1.91,17562,3325,18.93,79.25025135251592,24087.129032258064,14.597543059403964
117,Mozambique,3516.1290322580644,0,1690,32.0,0.0,0,0.65,0.0,inf,1507,194,12.87,0.0,5206.129032258064,67.53826135448293
118,Namibia,3516.1290322580644,101,1734,68.0,0.0,26,0.43,5.48,7.92,1344,499,37.13,5.480195333695062,5351.129032258064,65.70817132350724
119,Nepal,3516.1290322580644,13754,4950,139.0,3.0,626,0.26,73.35,0.35,17844,908,5.09,73.34684300341297,22220.129032258064,15.824071170574777
120,Netherlands,3516.1290322580644,189,47064,419.0,1.0,0,11.53,0.35,3259.26,52132,1281,2.46,0.35384644187744557,50769.12903225806,6.925722578427454
121,New Zealand,3516.1290322580644,1514,21,1282.7401129943503,30.401129943502823,1,1.41,97.24,1.45,1555,2,0.13,97.23827874116891,5051.129032258064,69.61075454226139
122,Nicaragua,3516.1290322580644,2492,839,0.0,0.0,0,3.14,72.46,4.33,3147,292,9.28,72.46292526897355,6847.129032258064,51.35187340114293
123,Niger,3516.1290322580644,1027,36,0.0,0.0,0,6.1,90.72,6.72,1105,27,2.44,90.7243816254417,4579.129032258064,76.78597845765852
124,Nigeria,3516.1290322580644,18203,22117,648.0,2.0,829,2.09,44.2,4.72,37225,3955,10.62,44.20349684312773,43836.12903225806,8.021075560003531
125,North Macedonia,3516.1290322580644,5564,4183,127.0,6.0,137,4.56,54.48,8.38,9249,964,10.42,54.47958484284735,13263.129032258064,26.510554362445486
126,Norway,3516.1290322580644,8752,125,15.0,0.0,0,2.79,95.84,2.91,9034,98,1.08,95.83880858519493,12393.129032258064,28.371600288401222
127,Oman,3516.1290322580644,57028,19637,1053.0,9.0,1729,0.51,74.01,0.69,68400,8658,12.66,74.00659243686573,80181.12903225806,4.385232628544646
128,Pakistan,3516.1290322580644,241026,27421,1176.0,20.0,3592,2.13,87.87,2.42,266096,8193,3.08,87.87300985456945,271963.12903225806,1.2928697521497519
129,Panama,3516.1290322580644,35086,25034,1146.0,28.0,955,2.15,57.1,3.77,54426,7016,12.89,57.10426092900621,63636.12903225806,5.52536599213269
130,Papua New Guinea,3516.1290322580644,11,51,0.0,0.0,0,0.0,17.74,0.0,19,43,226.32,17.741935483870968,3578.1290322580644,98.26725086096536
131,Paraguay,3516.1290322580644,2905,1600,104.0,2.0,111,0.95,63.87,1.48,3748,800,21.34,63.87423043095867,8021.129032258064,43.83583680199473
132,Peru,3516.1290322580644,272547,98752,13756.0,575.0,4697,4.73,69.93,6.76,357681,32036,8.96,69.93459356404776,374815.12903225806,0.9380968802770638
133,Philippines,3516.1290322580644,26446,53649,1592.0,13.0,336,2.37,32.24,7.35,68898,13142,19.07,32.23549488054607,83611.12903225806,4.205336147179049
134,Poland,3516.1290322580644,32856,8870,337.0,5.0,103,3.86,75.7,5.1,40383,3019,7.48,75.70158057232386,45242.12903225806,7.771802758776077
135,Portugal,3516.1290322580644,35375,13205,135.0,2.0,158,3.42,70.33,4.86,48771,1528,3.13,70.32943000854888,52096.12903225806,6.749309588973238
136,Qatar,3516.1290322580644,106328,3104,292.0,0.0,304,0.15,97.02,0.16,107037,2560,2.39,97.0172541219194,112948.12903225806,3.1130476107787985
137,Romania,3516.1290322580644,25794,17902,1104.0,19.0,151,4.81,56.19,8.55,38139,7763,20.35,56.19362990719359,47212.12903225806,7.447512120996793
138,Russia,3516.1290322580644,602249,201097,5607.0,85.0,3077,1.63,73.74,2.21,776212,40468,5.21,73.74357153352598,806862.1290322581,0.43577817147959
139,Rwanda,3516.1290322580644,975,899,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,51.889302820649284,5390.129032258064,65.23274324631645
140,Saint Kitts and Nevis,3516.1290322580644,15,2,0.0,0.0,0,0.0,88.24,0.0,17,0,0.0,88.23529411764706,3533.1290322580644,99.51884010335351
141,Saint Lucia,3516.1290322580644,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,91.66666666666666,3540.1290322580644,99.3220586091267
142,Saint Vincent and the Grenadines,3516.1290322580644,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,75.0,3568.1290322580644,98.54265359997108
143,San Marino,3516.1290322580644,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,93.99141630901288,4173.129032258064,84.25641778815309
144,Sao Tome and Principe,3516.1290322580644,734,117,2.0,0.0,38,1.62,84.86,1.91,746,119,15.95,84.85549132947978,4367.129032258064,80.5135137131503
145,Saudi Arabia,3516.1290322580644,222936,43238,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,82.89617526976879,269690.12903225806,1.3037663057506619
146,Senegal,3516.1290322580644,6477,3093,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,66.33551823023352,13086.129032258064,26.8691300811004
147,Serbia,3516.1290322580644,0,23598,411.0,9.0,0,2.25,0.0,inf,21253,2888,13.59,0.0,27114.129032258064,12.967884854700204
148,Seychelles,3516.1290322580644,39,75,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,34.21052631578947,3630.1290322580644,96.85961576057014
149,Sierra Leone,3516.1290322580644,1317,400,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,73.86427369601795,5233.129032258064,67.18980194418931
150,Singapore,3516.1290322580644,45692,5119,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,89.87765057634053,54327.12903225806,6.472142178119291
151,Slovakia,3516.1290322580644,1616,537,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,74.094452086199,5669.129032258064,62.02238495985616
152,Slovenia,3516.1290322580644,1733,238,5.0,0.0,55,5.56,83.04,6.69,1953,134,6.86,83.03785337805462,5487.129032258064,64.07957625175631
153,Somalia,3516.1290322580644,1543,1560,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,48.27909887359199,6619.129032258064,53.12072049241445
154,South Africa,3516.1290322580644,274925,170537,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,60.75301251411511,448978.12903225806,0.7831403814339114
155,South Korea,3516.1290322580644,13007,896,28.0,1.0,102,2.11,91.58,2.31,13816,387,2.8,91.5792438217278,17419.129032258064,20.185446848385073
156,South Sudan,3516.1290322580644,1175,1084,43.0,1.0,0,2.0,50.98,3.91,2211,94,4.25,50.97613882863341,5775.129032258064,60.88399086181568
157,Spain,3516.1290322580644,150376,93613,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,55.19985610507266,247505.12903225806,1.4206287546468572
158,Sri Lanka,3516.1290322580644,2121,673,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,75.61497326203208,6310.129032258064,55.72198308914494
159,Sudan,3516.1290322580644,5939,4765,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,51.98704481792718,14220.129032258064,24.72642142896031
160,Suriname,3516.1290322580644,925,534,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,62.37356709372893,4975.129032258064,70.67412743388078
161,Sweden,3516.1290322580644,0,73695,398.0,3.0,0,7.18,0.0,inf,78048,1347,1.73,0.0,77211.12903225806,4.553914800014205
162,Switzerland,3516.1290322580644,30900,1599,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,89.62496736955072,36015.12903225806,9.762922212797669
163,Syria,3516.1290322580644,0,634,24.0,2.0,0,5.93,0.0,inf,522,152,29.12,0.0,4150.129032258064,84.7233665490385
164,Taiwan*,3516.1290322580644,440,15,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,95.23809523809523,3971.1290322580644,88.54230128751878
165,Tajikistan,3516.1290322580644,6028,1147,43.0,1.0,58,0.83,83.32,1.0,6921,314,4.54,83.31720801658604,10691.129032258064,32.88828543411028
166,Tanzania,3516.1290322580644,183,305,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,35.952848722986246,4004.1290322580644,87.81258056200052
167,Thailand,3516.1290322580644,3111,128,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,94.35850773430391,6755.129032258064,52.05124899120859
168,Timor-Leste,3516.1290322580644,0,24,0.0,0.0,0,0.0,0.0,0.0,24,0,0.0,0.0,3540.1290322580644,99.3220586091267
169,Togo,3516.1290322580644,607,249,6.0,0.0,8,2.06,69.45,2.97,783,91,11.62,69.45080091533181,4372.129032258064,80.42143784677134
170,Trinidad and Tobago,3516.1290322580644,128,12,1.0,0.0,0,5.41,86.49,6.25,137,11,8.03,86.48648648648648,3656.1290322580644,96.17081348155992
171,Tunisia,3516.1290322580644,1157,248,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,79.51890034364261,4921.129032258064,71.4496411130412
172,Turkey,3516.1290322580644,210469,10920,1282.7401129943503,30.401129943502823,982,2.48,92.71,2.67,220572,6447,2.92,92.7098612891432,224905.12903225806,1.5633832129074063
173,US,3516.1290322580644,1325804,2816444,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,30.902656459668286,4145764.129032258,0.08481256827022697
174,Uganda,3516.1290322580644,986,140,13.0,0.0,4,0.18,87.41,0.2,1069,59,5.52,87.41134751773049,4642.129032258064,75.74388837157588
175,Ukraine,3516.1290322580644,37202,28258,835.0,11.0,317,2.44,55.45,4.4,60767,6329,10.42,55.44592822224872,68976.12903225806,5.097602723709933
176,United Arab Emirates,3516.1290322580644,52510,6322,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,88.73379860418744,62348.12903225806,5.639510097310006
177,United Kingdom,3516.1290322580644,1437,254427,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,0.47628833176448754,259380.12903225806,1.3555892062266566
178,Uruguay,3516.1290322580644,951,216,10.0,1.0,3,2.91,79.12,3.68,1064,138,12.97,79.11813643926789,4683.129032258064,75.08076348181875
179,Uzbekistan,3516.1290322580644,11674,9414,678.0,5.0,569,0.57,55.04,1.04,17149,4060,23.67,55.042670564383045,24604.129032258064,14.290808781112007
180,Venezuela,3516.1290322580644,9959,5883,1282.7401129943503,30.401129943502823,213,0.91,62.29,1.47,12334,3654,29.63,62.29046785088816,19358.129032258064,18.163578858260763
181,Vietnam,3516.1290322580644,365,66,1282.7401129943503,30.401129943502823,0,0.0,84.69,0.0,384,47,12.24,84.68677494199535,3947.1290322580644,89.08067112887275
182,West Bank and Gaza,3516.1290322580644,3752,6791,152.0,2.0,0,0.73,35.33,2.08,8916,1705,19.12,35.326240466999344,14059.129032258064,25.009579357230866
183,Western Sahara,3516.1290322580644,8,1,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,80.0,3525.1290322580644,99.74469019665261
184,Yemen,3516.1290322580644,833,375,10.0,4.0,36,28.56,49.26,57.98,1619,72,4.45,49.260792430514485,4724.129032258064,74.42914891292473
185,Zambia,3516.1290322580644,2815,1597,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,61.840949033391915,7928.129032258064,44.35004801197858
186,Zimbabwe,3516.1290322580644,542,2126,192.0,2.0,24,1.33,20.04,6.64,1713,991,57.85,20.04437869822485,6184.129032258064,56.85730381622051
